,data
1917,-0.86
1918,-2.78
1919,5.17
1920,6.84
1921,5.83
1922,-4.76
1923,-4.69
1924,-12.47
1925,0.53
1926,-3.15
1927,22.33
1928,14.78
1929,1.42
1930,-0.36
1931,-2.12
1932,-2.72
1933,2.77
1934,0.55
1935,-1.73
1936,-7.07
1937,-1.05
1938,-0.25
1939,3.84
1940,0.0
1941,4.63
1942,0.56
1943,-3.38
1944,2.23
1945,0.83
1946,-6.73
1947,2.36
1948,0.7
1949,2.56
1950,2.52
1951,0.56
1952,-2.47
1953,-6.9
1954,2.92
1955,8.48
1956,-2.38
1957,2.95
1958,-2.84
1959,-10.52
1960,2.19
1961,-2.91
1962,5.56
1963,7.6
1964,-2.02
1965,-7.35
1966,2.22
1967,8.08
1968,-2.53
1969,4.91
1970,3.15
1971,-1.06
1972,-6.62
1973,-7.88
1974,-5.52
1975,7.74
1976,2.42
1977,7.64
1978,3.75
1979,-1.16
1980,-0.79
1981,3.98
1982,-4.1
1983,-2.29
1984,-2.98
1985,-4.63
1986,6.19
1987,14.23
1988,13.43
1989,-4.73
1990,7.59
1991,4.15
1992,-0.51
1993,-5.86
1994,-0.06
1995,-0.45
1996,-2.2
1997,1.3
1998,-10.11
1999,3.23
2000,7.91
2001,1.6
2002,0.18
2003,4.07
2004,2.51
2005,-1.88
2006,0.18
2007,1.85
2008,-0.66
2009,-4.67
2010,-3.87
